simulation,baseline,baseline,algo_1,algo_1
score_type,linear,squared,linear,squared
0,0.48808363805034816,0.00017604088652703053,0.4635493856725384,0.0001582667324735621
1,0.5533575057705448,0.00021734329426112198,0.49688104445062264,0.00018312843192664916
2,0.5893424357935815,0.00024590834009461846,0.470634440073637,0.0001623356016536647
3,0.579227567128985,0.00023473273268888708,0.5606870500784469,0.00021852017191328562
4,0.5965813318478762,0.0002543818963532892,0.6009228840703296,0.0002511729602556051
5,0.5961753465723526,0.00025305586680325035,0.6061334669737769,0.00025564942054365116
6,0.5955228235230028,0.0002539479015420531,0.5753843722349291,0.00023223624702109605
7,0.6052129503695032,0.00026623294496948394,0.5866406726405953,0.00024120516540325756
8,0.5954408096819592,0.0002617446585762188,0.5740747920579521,0.00022960735924651448
9,0.5940387054814611,0.0002583458716312335,0.5819832101529838,0.0002347341548072328
10,0.6035374121047132,0.00026582228294255874,0.5965294325675609,0.00024730296025707066
11,0.6085879213741401,0.0002692399804996385,0.5988965896535511,0.0002488245655784263
12,0.5982009851316274,0.00026320356111031646,0.6117687371189928,0.00026174055555870093
13,0.603444341194374,0.0002711748978567071,0.6022939286346698,0.00025656310402725335
14,0.5960192860792727,0.0002655294644780988,0.6107274168893757,0.0002639134882905485
15,0.5963303781050473,0.0002683316345456913,0.6058163739265031,0.0002614394270090428
16,0.5930724573827038,0.0002618724280526768,0.6034257418994176,0.00025818536720736263
17,0.5901626663264448,0.0002587885070220678,0.607926456441406,0.00026317741163988463
18,0.6001563029754399,0.0002664932089400634,0.6110265056957556,0.0002661201592779356
19,0.604781954434393,0.0002728361878561596,0.6101052844203941,0.00026721989250130243
20,0.605363135111177,0.00027350067530420625,0.617372302146558,0.00027334161970817244
21,0.6020552924232337,0.0002709767314883211,0.6159123445529702,0.00027209157417417573
22,0.601439069642554,0.00026955035465579314,0.6164799774812907,0.0002727984932976465
23,0.6056930656866528,0.00027364622261478696,0.6094618963313185,0.00026813285822493917
24,0.6097034891187673,0.0002791505281890971,0.6168377801891275,0.0002738005299680597
25,0.613570975993116,0.00028009952941473776,0.6212161766589993,0.0002781035955362961
26,0.6196561130772358,0.0002870987664857506,0.6251484247342565,0.00028222439260335063
27,0.6122734476208425,0.0002798043620540373,0.6281257226166435,0.0002846336831608665
28,0.6145842556837755,0.0002806571656615352,0.631985661191178,0.0002881645270583017
29,0.618153057959645,0.0002835179858337169,0.6331039448522366,0.0002894836823429998
30,0.6201982636833343,0.0002875202172852028,0.6312001981691906,0.0002882527589757363
31,0.6215220193481991,0.0002873507361504005,0.6309336957623647,0.00028832624294684254
32,0.6225501853781861,0.0002894199258591988,0.6310732848241842,0.0002882179178119962
33,0.6202956413960291,0.0002896942796529623,0.6325056451872587,0.0002898270325108577
34,0.6215370324057077,0.000290213049249582,0.6295522733792753,0.0002866883410167563
35,0.6245681319888673,0.0002914669842172007,0.625716609784482,0.00028331636435054717
36,0.6240530041515552,0.0002903726469216385,0.6263582035241352,0.0002824247371869563
37,0.627526855808886,0.00029262403859133744,0.6246324267094769,0.00028117989827303235
38,0.6288276279414915,0.00029369201741383786,0.6241909611794876,0.0002804208897011385
39,0.6277298284433146,0.0002932501881104369,0.6264594581377465,0.000281324577729321
40,0.6274351218543561,0.00029365607607537554,0.6257225697166284,0.0002803601022559598
41,0.6280982239749133,0.0002941707825562732,0.6293246062692842,0.0002841190371777828
42,0.6284876639405389,0.0002932956374504361,0.6311019875952357,0.0002844213526468041
43,0.6279297000138891,0.0002923631152191335,0.6338167449918568,0.0002884497288668218
44,0.6289194982451638,0.00029216326312167285,0.6342639076425012,0.00028766489717812257
45,0.6285045210683329,0.00029272628738645067,0.6290645390708488,0.00028227265828490453
46,0.6269600494473688,0.000291691119954143,0.6275640077826725,0.0002808363826250429
47,0.6297617947027693,0.00029390201654097624,0.6269186290878627,0.00028014437664739445
48,0.628546589949996,0.0002929404081195963,0.6302741176683833,0.00028349581194544993
49,0.6285786827618137,0.00029179795975189894,0.6316297360021332,0.0002844484776134481
50,0.6272708365373089,0.00029191928426754973,0.6289700087883194,0.000281943840988762
51,0.6278762115671689,0.0002920991671684195,0.6286717295319844,0.0002819963086906373
52,0.6292601751886828,0.0002940223508400749,0.6293578272568598,0.00028231157418658905
53,0.6292301972140188,0.0002932870924360421,0.6273267539511427,0.00027977959922053926
54,0.6293089610991702,0.00029360587202697727,0.6305412833808273,0.0002827437216389449
55,0.6324159826695379,0.00029768296934218623,0.6310647019484601,0.0002845012826191287
56,0.6314292213048203,0.00029696384446883874,0.6286632689567209,0.00028141075104774847
57,0.6327612189741048,0.000299032662718336,0.6295518438340715,0.0002820488230840863
58,0.6315642597836417,0.0002973044374103778,0.6303585639135985,0.00028201037561845433
59,0.6311880875857201,0.0002968130810967399,0.6302506970791314,0.0002821387821882815
60,0.6303556641135164,0.0002961073794716478,0.6286455028941109,0.000280982411945652
61,0.6306089980554689,0.0002960376536817865,0.6283485256036984,0.00028159909016648935
62,0.6312683499036824,0.00029697391106091775,0.6305515640829573,0.0002838671644754241
63,0.6346388421838484,0.0002990180885648642,0.6276112270647232,0.0002818382019470474
64,0.6310846817231233,0.00029540039807122493,0.6260978024101651,0.0002803754019534488
65,0.6303584376917659,0.0002946805453413736,0.62579834003013,0.00027941041354276927
66,0.6263933681627909,0.00029185553882931997,0.6257422450077083,0.0002795076701330178
67,0.6221262214984256,0.00028775151584400156,0.6256107793753186,0.00027885588179176694
68,0.6210852505953732,0.0002873421562934802,0.6246672634508887,0.0002780488477369256
69,0.6224419925435909,0.0002887497133572071,0.6251201929213296,0.00027836536293166105
70,0.6226386138774949,0.00028863340289866446,0.6271520843782878,0.0002794825293510979
71,0.62283975664583,0.00028887764295222715,0.6234587764601427,0.00027646223382792333
72,0.625446448258221,0.0002910734293702291,0.620896216622808,0.0002742398094476373
73,0.6252859257868768,0.00029146429454816045,0.6227743153862295,0.000276017572952788
74,0.6230471245078298,0.00028916266919360947,0.6203586215856447,0.0002739385476114096
75,0.6239251055718168,0.0002894241882032691,0.6200672409027761,0.00027361116794626594
76,0.6250503296656302,0.0002906762343639611,0.6201876020676503,0.00027331887452979845
77,0.6255016145713059,0.00029079741994471813,0.6202591344807954,0.00027379100500992206
78,0.6257564532307296,0.0002908981456812284,0.6189468828267308,0.00027245797374125737
79,0.6267025793867611,0.0002914204352496977,0.6181495561809605,0.00027217030854139953
80,0.6284786701755003,0.0002927053666091479,0.6161984477472816,0.00027052407060689117
81,0.6287835055433142,0.00029369786403089847,0.6174950332127083,0.00027181410535703126
82,0.627258844151191,0.00029181412951508615,0.6156382805747835,0.00027111111662156076
83,0.627093150435736,0.0002919534960482985,0.6153024132491436,0.00027105973182750326
84,0.6287601969450815,0.00029353225741276016,0.6149095257382173,0.0002705324143575595
85,0.6295369060897582,0.0002942262555176822,0.6140697828539334,0.0002700243350710921
86,0.6303055224350458,0.00029503006183460265,0.612277174600766,0.00026864601953834836
87,0.6312369839806908,0.00029635933292036077,0.613314047713823,0.0002694067582443264
88,0.6287268701682113,0.0002940557598438996,0.6134997554850482,0.00026938753084549137
89,0.6275894452918023,0.00029323498633755847,0.615088687426013,0.00027040449498349746
90,0.6243671685874305,0.00029051999582505603,0.6167748822766402,0.0002718560086104148
91,0.6260051951788939,0.0002918155671309178,0.617342219205192,0.0002719290211301436
92,0.62539803684899,0.00029132843768519406,0.6169921529866744,0.0002726556524489149
93,0.6261115627814272,0.0002914343261630021,0.6151909794713759,0.00027105922453099274
94,0.6264095778569382,0.00029158792236302206,0.6156755353946783,0.00027079434838477175
95,0.6258240606124033,0.0002910502112171404,0.6149677892177434,0.00026996668107351904
96,0.6277746233753394,0.0002931456101315389,0.6142246304432322,0.0002691651935479178
97,0.6245703086432017,0.0002908974841715447,0.614436020536511,0.0002695067129044076
98,0.6255629596673782,0.0002918146169755151,0.6139101783275756,0.00026918679179191543
99,0.6250282008496455,0.00029129054178898166,0.6126773001989985,0.0002678010513079907
100,0.7293230138753162,0.0003937747130935435,0.5841258811115799,0.0002606169487499732
101,0.6594764871305234,0.00032072794070195376,0.5965322225159428,0.0002565933542083104
102,0.6658338963041399,0.0003181403815709189,0.6428190790691508,0.00028811095617770803
103,0.6685949336904478,0.00031759020648316035,0.6254757186451733,0.0002792474824085594
104,0.6690478511840044,0.0003212735621122288,0.6474382995608826,0.000294695134176277
105,0.6460507046226801,0.0003020096251821032,0.6272208331706479,0.0002773305721883991
106,0.6263988866755172,0.00028468126810158386,0.6180182102107088,0.00027167747186175275
107,0.6441685922767764,0.0002999039001135503,0.6082887422626833,0.0002645116151534119
108,0.6269017766169567,0.0002912582432282305,0.620907419146564,0.0002810442971507268
109,0.6401892741387348,0.0003010599188430431,0.6244730292246188,0.0002863524901941688
110,0.6448607846425611,0.00030439076274966495,0.6357180535200643,0.0002989664377806527
111,0.6451024806562411,0.0003057431158324654,0.6445471246726826,0.0003121342986390798
112,0.6450379926185221,0.00030745799292678595,0.6424769633759794,0.00031330698707255885
113,0.650852110781302,0.00031596804691587767,0.6460923931021542,0.0003198134217627756
114,0.6535704837165425,0.0003192948373039727,0.632096974990819,0.00030591176734107124
115,0.6564642742975504,0.00031819691436642836,0.635467588046426,0.00030595911336865806
116,0.6501577142609614,0.0003126033311457468,0.6382708406440154,0.000306717170000726
117,0.6460016394469198,0.00031107303007372073,0.6456997150602637,0.0003107955498932261
118,0.6442578603953852,0.000310681305559237,0.6463625942516114,0.00031121381279202603
119,0.6378154640099418,0.00030602757869675344,0.647183844634536,0.00031110691595357526
120,0.6388948518509556,0.00030760081704869096,0.6446416501040302,0.00030862413660599054
121,0.6317416687376387,0.0003035048778297616,0.6398131064428796,0.0003062924082891934
122,0.6340905360531739,0.0003061947742385149,0.6364316586701415,0.00030404833977233636
123,0.6365255642296661,0.00030853784157839676,0.6404307685261975,0.00030376535365269036
124,0.6413072417259664,0.0003150848756531019,0.6385659832543924,0.00030243285304817213
125,0.6425363746944881,0.0003149267071651467,0.6390920763578365,0.00030361320970976317
126,0.648222416882235,0.0003193731597554674,0.6394000940502389,0.00030398873499373264
127,0.6508480881998246,0.00032027481234339004,0.6340265148594327,0.00030094982135539896
128,0.6504580662567738,0.0003197599088478142,0.6314054156771721,0.0002979923346860926
129,0.6470941537022366,0.00031707403893360204,0.6290461924055815,0.00029502437600943015
130,0.649410008087095,0.00032160826633788786,0.6283882773334019,0.0002923527102463237
131,0.6438979165444063,0.0003152877908249269,0.6217417662457398,0.00028698197502111827
132,0.6418218336278997,0.0003142812044366743,0.6203375482284358,0.00028574815965355194
133,0.6389110899780194,0.000310102768788509,0.6206576568587747,0.00028612841091765014
134,0.6344514495493959,0.00030459263104976655,0.6204759735088192,0.000285917702343039
135,0.631896948086826,0.0003025314010533202,0.6243308524551958,0.0002885023215144679
136,0.6335732752607734,0.0003046574902724821,0.6252905977196965,0.00028949938619582773
137,0.631679004489073,0.0003029261498960033,0.625595904633663,0.00028917341728871215
138,0.6320275761724152,0.0003023161083600647,0.6245139582954814,0.0002888050597992513
139,0.6354275859804119,0.00030472418752234816,0.622297004718424,0.0002882218202378675
140,0.6389826008866524,0.0003070303557099774,0.6217905376033077,0.0002869104464174894
141,0.6364353121963464,0.0003047758630633066,0.6251802595517023,0.0002903416684509585
142,0.6360103402374945,0.0003042697560408576,0.6290923952828817,0.0002952120232774014
143,0.6363549460023437,0.00030478426217190273,0.6342061676465214,0.0002995755710040725
144,0.6329111238920673,0.0003007144417487836,0.6341296989578488,0.00029917710634132683
145,0.6319681839857922,0.00030003709088603846,0.6351212321047806,0.0003005953637498277
146,0.6355245887376431,0.0003047696272510167,0.6358335318193651,0.00030088025657401627
147,0.6373190824146553,0.0003064971412293773,0.6370749788838574,0.0003014856899326238
148,0.6364313189639623,0.0003057957185161119,0.6360949143215047,0.0002997026650493707
149,0.6401753323960809,0.0003091875175802631,0.6368911066255563,0.00030059699118732545
150,0.642456496818444,0.0003117100449824107,0.640028392451759,0.00030386062668076895
151,0.6402979326339509,0.0003093409533949003,0.6410703984550308,0.00030460050993381645
152,0.6418396394104569,0.0003102458250638962,0.6416613014312864,0.0003049147808734643
153,0.6398244884409399,0.00030797397923130576,0.6428239514648915,0.00030587468153951214
154,0.6391708656877042,0.0003072497021960795,0.6406010764815542,0.000304741682549186
155,0.640066870691679,0.0003081557769088781,0.6401826318488043,0.0003038739040536425
156,0.6414045476071812,0.0003080744672648664,0.6393206115632979,0.000301593530719301
157,0.6391137380055012,0.00030640779931435073,0.6412128238873355,0.0003028862477376555
158,0.6408926807312967,0.0003081464775109018,0.6408728918111903,0.0003033999300736241
159,0.6415967002591498,0.00030854291430214384,0.6395686022824667,0.00030209612671304686
160,0.6423564838382236,0.0003095795100549149,0.6392084118906656,0.00030262881629002265
161,0.6443117429826745,0.00031164406552169915,0.6385672049835944,0.00030177956714357967
162,0.6417748836847149,0.00030990406723278754,0.638100792801417,0.00030146291968888024
163,0.6412938174937848,0.0003095680786012537,0.6391975630404406,0.0003019016848212644
164,0.6433993306422978,0.00031225306085918094,0.6406000954542462,0.00030267682749462397
165,0.6442532891308765,0.0003121771942655718,0.6413022119906976,0.00030433215494755125
166,0.6432051423003381,0.00031024674659385154,0.6400394436933541,0.00030339326132781014
167,0.644247520990489,0.00031133123423685276,0.6405517176386146,0.00030401238087708106
168,0.6447313110567283,0.00031158097774942233,0.6397809297332477,0.00030376046677988713
169,0.6439630706999426,0.00031149502422092026,0.638287183431088,0.0003027116598842936
170,0.6447740314001704,0.0003121788551380246,0.6348136569040292,0.0002994653369449659
171,0.6438380680601815,0.00031081090774521674,0.6361292340375484,0.0003008666762533073
172,0.6432221217971266,0.0003105566361870898,0.6357188672512092,0.0003004858979247934
173,0.6426451098834509,0.00031063862727289033,0.6347128201111464,0.00029891156949166244
